avg_perplexity is:	1.4410041807855742
the project gutenberg ebook of ulysses by james joyce  this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever	pp=1.6713531699991468
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at <URL>	pp=1.410808477597137
if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook	pp=1.5322614254830111
title ulysses  author james joyce  release date december <NUM> <NUM> ebook <HASHTAG> most recently updated december <NUM> <NUM>  language english  character set encoding utf<NUM>  produced by col choat and david widger   start of the project gutenberg ebook ulysses   illustration     ulysses   by james joyce   contents   i    <NUM>   <NUM>   <NUM>    ii    <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>   <NUM>    iii    <NUM>   <NUM>   <NUM>       i     <NUM>   stately plump buck mulligan came from the stairhead bearing a bowl of lather on which a mirror and a razor lay crossed	pp=1.7483179915700773
a yellow dressinggown ungirdled was sustained gently behind him on the mild morning air	pp=1.501072194374157
he held the bowl aloft and intoned  _introibo ad altare dei_	pp=1.406994383388357
halted he peered down the dark winding stairs and called out coarsely  come up kinch come up you fearful jesuit  solemnly he came forward and mounted the round gunrest	pp=1.5236873653231602
he faced about and blessed gravely thrice the tower the surrounding land and the awaking mountains	pp=1.4289454362478384
then catching sight of stephen dedalus he bent towards him and made rapid crosses in the air gurgling in his throat and shaking his head	pp=1.7473453567000683
stephen dedalus displeased and sleepy leaned his arms on the top of the staircase and looked coldly at the shaking gurgling face that blessed him equine in its length and at the light untonsured hair grained and hued like pale oak	pp=1.6247702158909978
buck mulligan peeped an instant under the mirror and then covered the bowl smartly	pp=1.427310053246336
back to barracks he said sternly	pp=1.222031465319248
shut your eyes gents one moment	pp=1.3988393402513746
a little trouble about those white corpuscles silence all	pp=1.2525550239332415
he peered sideways up and gave a long slow whistle of call then paused awhile in rapt attention his even white teeth glistening here and there with gold points chrysostomos	pp=1.5509236905858466
two strong shrill whistles answered through the calm	pp=1.2243629539112202
thanks old chap he cried briskly	pp=1.4428378917931912
that will do nicely	pp=1.5608349230400826
switch off the current will you	pp=1.2732632511940292
he skipped off the gunrest and looked gravely at his watcher gathering about his legs the loose folds of his gown	pp=1.4865857474035966
the plump shadowed face and sullen oval jowl recalled a prelate patron of arts in the middle ages	pp=1.4485558204679543
a pleasant smile broke quietly over his lips	pp=1.2463984244758481
the mockery of it he said gaily	pp=1.539539910592843
your absurd name an ancient greek  he pointed his finger in friendly jest and went over to the parapet laughing to himself	pp=1.588167112147114
stephen dedalus stepped up followed him wearily halfway and sat down on the edge of the gunrest watching him still as he propped his mirror on the parapet dipped the brush in the bowl and lathered cheeks and neck	pp=1.634243849940917
buck mulligans gay voice went on	pp=1.1814021517558515
my name is absurd too malachi mulligan two dactyls	pp=1.394294338388588
but it has a hellenic ring hasnt it	pp=1.2873282417451015
tripping and sunny like the buck himself	pp=1.2830448277575401
we must go to athens	pp=1.2883716073087847
will you come if i can get the aunt to fork out twenty quid	pp=1.6647043157760402
he laid the brush aside and laughing with delight cried  will he come	pp=1.4929761153397916
the jejune jesuit  ceasing he began to shave with care	pp=1.5044565750469674
tell me mulligan stephen said quietly	pp=1.220891362609155
yes my love	pp=1.8118980619457155
how long is haines going to stay in this tower	pp=1.3558725889814416
buck mulligan showed a shaven cheek over his right shoulder	pp=1.3225664114779974
god isnt he dreadful	pp=1.1611729229612238
he said frankly	pp=6.043475306202974
a ponderous saxon	pp=1.459821005939345
he thinks youre not a gentleman	pp=1.1566751675111318
god these bloody english bursting with money and indigestion	pp=1.328662961674533
because he comes from oxford	pp=1.4118804902242175
you know dedalus you have the real oxford manner	pp=1.5128986746478699
o my name for you is the best kinch the knifeblade	pp=1.604576093753807
he shaved warily over his chin	pp=1.218554519783741
he was raving all night about a black panther stephen said	pp=1.367276755387026
where is his guncase	pp=1.1800602022403472
a woful lunatic mulligan said	pp=1.1039706371209328
were you in a funk	pp=1.6815265652389004
i was stephen said with energy and growing fear	pp=1.5315284936958689
out here in the dark with a man i dont know raving and moaning to himself about shooting a black panther	pp=1.8445924431595893
you saved men from drowning	pp=1.0835930989569047
im not a hero however	pp=1.6430475342303232
if he stays on here i am off	pp=1.387737188984055
buck mulligan frowned at the lather on his razorblade	pp=1.5616153963845187
he hopped down from his perch and began to search his trouser pockets hastily	pp=1.377356980480693
scutter he cried thickly	pp=1.1597888040777369
he came over to the gunrest and thrusting a hand into stephens upper pocket said  lend us a loan of your noserag to wipe my razor	pp=1.6246390625952605
stephen suffered him to pull out and hold up on show by its corner a dirty crumpled handkerchief	pp=1.5915233902185144
buck mulligan wiped the razorblade neatly	pp=1.252069917013747
then gazing over the handkerchief he said  the bards noserag a new art colour for our irish poets snotgreen	pp=1.641278513733867
you can almost taste it cant you	pp=1.4056992099668981
he mounted to the parapet again and gazed out over dublin bay his fair oakpale hair stirring slightly	pp=1.4467600685622741
isnt the sea what algy calls it a great sweet mother	pp=1.3553950816666371
the snotgreen sea	pp=1.1695400844083526
the scrotumtightening sea	pp=1.1005898655868145
_epi oinopa ponton_	pp=1.0400399440775348
ah dedalus the greeks i must teach you	pp=1.313364687175895
you must read them in the original	pp=1.702097770983881
_thalatta thalatta_ she is our great sweet mother	pp=1.2722863416338386
come and look	pp=2.405943730773378
stephen stood up and went over to the parapet	pp=1.932239649910331
leaning on it he looked down on the water and on the mailboat clearing the harbourmouth of kingstown	pp=2.235293487575539
our mighty mother buck mulligan said	pp=1.2960350036349844
he turned abruptly his grey searching eyes from the sea to stephens face	pp=1.63408101445313
the aunt thinks you killed your mother he said	pp=1.1971501601631909
thats why she wont let me have anything to do with you	pp=1.5949765247947418
someone killed her stephen said gloomily	pp=1.2760517105013534
you could have knelt down damn it kinch when your dying mother asked you buck mulligan said	pp=1.4365035041601582
im hyperborean as much as you	pp=1.7088350409405761
and you refused	pp=3.570508928882731
there is something sinister in you	pp=1.1827175291052994
he broke off and lathered again lightly his farther cheek	pp=1.3050201904956127
a tolerant smile curled his lips	pp=1.1474494519668859
but a lovely mummer he murmured to himself	pp=1.264979765880166
kinch the loveliest mummer of them all  he shaved evenly and with care in silence seriously	pp=1.6335075732653503
stephen an elbow rested on the jagged granite leaned his palm against his brow and gazed at the fraying edge of his shiny black coatsleeve	pp=1.5914571789350493
pain that was not yet the pain of love fretted his heart	pp=1.477601151294101
silently in a dream she had come to him after her death her wasted body within its loose brown graveclothes giving off an odour of wax and rosewood her breath that had bent upon him mute reproachful a faint odour of wetted ashes	pp=1.4436779923603238
across the threadbare cuffedge he saw the sea hailed as a great sweet mother by the wellfed voice beside him	pp=1.6123718136311669
the ring of bay and skyline held a dull green mass of liquid	pp=1.427163377033922
buck mulligan wiped again his razorblade	pp=1.354223513499802
ah poor dogsbody he said in a kind voice	pp=2.214854357824309
i must give you a shirt and a few noserags	pp=1.8205718847941403
how are the secondhand breeks	pp=1.372935608539895
they fit well enough stephen answered	pp=1.1522347959070238
buck mulligan attacked the hollow beneath his underlip	pp=1.2509189384940147
the mockery of it he said contentedly	pp=1.5398073308288833
secondleg they should be	pp=1.1031418606609826
god knows what poxy bowsy left them off	pp=1.3007672566448965
i have a lovely pair with a hair stripe grey	pp=1.6812547836997769
youll look spiffing in them	pp=1.103352860815331
im not joking kinch	pp=1.0621398727727018
you look damn well when youre dressed	pp=1.324093889899252
i cant wear them if they are grey	pp=1.5872584596518877
he cant wear them buck mulligan told his face in the mirror	pp=1.6960102226108387
etiquette is etiquette	pp=1.2596739759922129
he kills his mother but he cant wear grey trousers	pp=1.4471498936895226
he folded his razor neatly and with stroking palps of fingers felt the smooth skin	pp=1.3272630622547696
stephen turned his gaze from the sea and to the plump face with its smokeblue mobile eyes	pp=2.0034937507595743
that fellow i was with in the ship last night said buck mulligan says you have g p i	pp=1.6283692454710732
hes up in dottyville with connolly norman	pp=1.2054949631671115
general paralysis of the insane  he swept the mirror a half circle in the air to flash the tidings abroad in sunlight now radiant on the sea	pp=1.523192951895059
his curling shaven lips laughed and the edges of his white glittering teeth	pp=1.411296364881965
laughter seized all his strong wellknit trunk	pp=1.2159015074521116
look at yourself he said you dreadful bard  stephen bent forward and peered at the mirror held out to him cleft by a crooked crack	pp=1.6387269352774434
hair on end	pp=2.218811977646421
as he and others see me	pp=1.3105522504508642
who chose this face for me	pp=1.2019601305828431
this dogsbody to rid of vermin	pp=1.1785650930155038
it asks me too	pp=1.073797311957074
